1	1.89393939393939	2.78787878787879	3.68181818181818	4.57575757575758	5.46969696969697	6.36363636363636	7.25757575757576	8.15151515151515	9.04545454545454	9.93939393939394	10.8333333333333	11.7272727272727	12.6212121212121	13.5151515151515	14.4090909090909	15.3030303030303	16.1969696969697	17.0909090909091	17.9848484848485	18.8787878787879	19.7727272727273	20.6666666666667	21.5606060606061	22.4545454545455	23.3484848484849	24.2424242424242	25.1363636363636	26.030303030303	26.9242424242424	27.8181818181818	28.7121212121212	29.6060606060606	30.5	31.3939393939394	32.2878787878788	33.1818181818182	34.0757575757576	34.969696969697	35.8636363636364	36.7575757575758	37.6515151515151	38.5454545454545	39.4393939393939	40.3333333333333	41.2272727272727	42.1212121212121	43.0151515151515	43.9090909090909	44.8030303030303	45.6969696969697	46.5909090909091	47.4848484848484	48.3787878787878	49.2727272727272	50.1666666666666	51.060606060606	51.9545454545454	52.8484848484848	53.7424242424242	54.6363636363636	55.530303030303	56.4242424242424	57.3181818181817	58.2121212121211	59.1060606060605	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
58.2121212121211	59.1060606060605	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5
60	60	60	60	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
68.5	68.5	68.5	68.5	68.5	68.5	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75
80	80	80	80	80	80	80	80	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126
108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	108.75	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134
126	126	126	126	126	126	126	126	126	126	126	126	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57
134	134	134	134	134	134	134	134	134	134	134	134	134	134	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62
139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	139.57	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67
144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	144.62	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	148.67	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4	153.4
